,mean_movement,median_movement,max_movement,movement_std,std_center_x,std_center_y,range_center_x,range_center_y,max_center_x,max_center_y,mean_width,std_width,min_width,max_width,width_change,mean_height,std_height,min_height,max_height,height_change,mean_area,std_area,min_area,max_area,area_change,mean_iou,std_iou,min_iou,class_transition_count,pg_el_count,observed_pg_el,first_pg_el_frame,last_pg_el_frame,longest_pg_el_run,early_mean_width,early_mean_height,early_mean_area,early_pg_el_count,middle_mean_width,middle_mean_height,middle_mean_area,middle_pg_el_count,late_mean_width,late_mean_height,late_mean_area,late_pg_el_count
mean_movement,1.0,0.8973943759962918,0.4164830157546316,0.8125762766236484,0.8077335076933058,0.7549956319077848,0.8301470848247473,0.7761924313436893,0.124413848553779,0.09723617325155887,0.8008162520314237,0.8219528411813842,0.11964270655252435,0.8279861362478996,0.8199912841097535,0.7763693282394968,0.7984138542245676,0.06949578356515218,0.8051514318438895,0.7983336548500146,0.8802868542083294,0.8874743312200936,0.1403558400748268,0.8797760935016611,0.8790510275684792,-0.9428859435885518,0.6253867503328218,-0.32506677709197396,0.25042023660543955,0.635020275474514,0.47095148599037584,-0.06689623540002573,0.47095148599037706,0.6356124355247815,0.1592848054632211,0.11307476200648701,0.1762634179953397,0.5570541412017808,0.6562633575815289,0.6281798577736522,0.7515078439602042,0.6132647338762672,0.8161187057627555,0.792992017099782,0.8843731296319398,0.49851538618950014
median_movement,0.8973943759962918,1.0,0.25980432287233624,0.609451385506243,0.7724376393949413,0.6915337202413299,0.7713252944738999,0.6988300922395074,0.1097445880717996,0.08014853519124952,0.7679518252780386,0.7793369361729455,0.06837792364225355,0.7690298526985313,0.7675687254177176,0.7256053292947101,0.7310184490667824,0.04817006652835585,0.7262359349004748,0.7236380175552479,0.8366465454595744,0.8294875620100453,0.08554486948403081,0.8117969637806202,0.815417723080012,-0.8247556823690267,0.44525417524547156,-0.20394643763312043,0.18120828039953923,0.5362660591985827,0.35874652536203205,-0.1356977775022252,0.3587465253620321,0.5368457687921488,0.10109339290037662,0.08114870960269954,0.11635743785024065,0.5489489011142541,0.6542404274448694,0.6224454278281482,0.7527114883257315,0.5101207353477245,0.7821645128612476,0.73482720518402,0.8371759652048065,0.3827556448041977
max_movement,0.4164830157546316,0.25980432287233624,1.0,0.8278319009714589,0.299013187966656,0.20425374221427897,0.3434493155656066,0.2275961688232083,0.018393289553681483,0.09054512723610192,0.29409835929109546,0.30236471263370446,0.10697314518925015,0.31555947727435296,0.3108770995206915,0.2276646006928144,0.2327249946571172,0.048249797665182316,0.23781508236650878,0.23440311431747562,0.29201089779851136,0.30037119475951923,0.1136765165124611,0.30633335140177753,0.31057529331159844,-0.38746466789357753,0.7402467768910478,-0.7982991349282745,0.07472662795910875,0.20230277269687438,0.14689888371500498,-0.027449908188079818,0.14689888371500479,0.2023958033493132,0.1352040253498944,0.06869148794043059,0.13894422692706043,0.1851660284718782,0.22951415047157114,0.17837813910777647,0.23114316702642035,0.19584778746459672,0.29459953385410353,0.23039081343127793,0.2927011710405365,0.15375136752846966
movement_std,0.8125762766236484,0.609451385506243,0.8278319009714589,1.0,0.6232869560235934,0.547479415592219,0.6684463388687599,0.5793159760803339,0.0917082416202972,0.10446488621378162,0.6070311611165998,0.6331682979919729,0.13677879527524184,0.6493688329748464,0.6384581780327698,0.5595514908139121,0.5857142589545772,0.07796210697893388,0.5993453309137634,0.5905902286056256,0.6542112897334051,0.6742026896642574,0.1558293802366932,0.6799485868699818,0.6774024853833506,-0.7674535336269614,0.8316716614334514,-0.6484942146202043,0.19699232832155592,0.4766740017558071,0.3701009935446371,-0.01626901738596525,0.37010099354463727,0.4771071928241476,0.1712897079531017,0.11120903881554849,0.1875901988384034,0.38407881926449466,0.4719745276713004,0.4244527033235598,0.5179752642261876,0.46688837290955004,0.6193346069114369,0.5755666692708308,0.6606763047858976,0.3874293070768975
std_center_x,0.8077335076933058,0.7724376393949413,0.299013187966656,0.6232869560235934,1.0,0.4000484303601219,0.9813191532450044,0.4010747830188269,0.14335282831239168,0.06745360192359993,0.8830858145465386,0.9098450733389869,0.1294116292849586,0.8981618971445322,0.8839067917775246,0.45658484807095767,0.44785091308123415,0.04795221480089503,0.44635001551041437,0.43573726436177573,0.7804976696287481,0.7826319743939985,0.12911748232054673,0.7661828129878367,0.7509373955874606,-0.7094521084839216,0.4615191186843559,-0.24506509085320538,0.15762066815412282,0.4533686670560179,0.3212325666176206,-0.07789332186193511,0.32123256661762073,0.4541052487963855,0.14996850801282016,0.0705639166204988,0.14489336041590348,0.43623368996903406,0.7083234393092707,0.4222805977881886,0.6714457576829633,0.430508641562984,0.906047419342416,0.45279038101874425,0.7838556333249652,0.3408818034332044
std_center_y,0.7549956319077848,0.6915337202413299,0.20425374221427897,0.547479415592219,0.4000484303601219,1.0,0.39897554511509015,0.9791834363679798,0.053258644890702686,0.08173392300240867,0.40681969822637776,0.40454972684521406,0.03380588536742107,0.40038366478847626,0.3964418986762352,0.862425059510109,0.8987880448039778,0.09220653263161986,0.8872525007205765,0.8823131771188831,0.7295171872227082,0.7309595882487189,0.08890171468033456,0.7040424941439106,0.7065446449914102,-0.6675246259420204,0.36354817381885435,-0.14859341248954105,0.1839698954391747,0.45388854387265065,0.31212543482272326,-0.09822992022270913,0.3121254348227234,0.4541883569718155,0.060048385437895355,0.11271522145405122,0.10995013146979477,0.45099231444617177,0.3719700220514479,0.6572473957302291,0.6240962003077569,0.4318605334750999,0.40791317595302956,0.8922964283005471,0.7341626965559023,0.3319211757898082
range_center_x,0.8301470848247473,0.7713252944738999,0.3434493155656066,0.6684463388687599,0.9813191532450044,0.39897554511509015,1.0,0.40150579730455016,0.15314548417023666,0.06340999363015234,0.8739885010732718,0.9163553438594966,0.12454494074890488,0.922565946815846,0.9115470165588191,0.4640230765530532,0.45294086052560856,0.05550664158838335,0.45201018392394304,0.4417151175953518,0.774524401586643,0.7836225632394039,0.13037013533831596,0.7771344593040004,0.7655772329463325,-0.740587518257107,0.5000825253808697,-0.2768160690232047,0.1660208065465435,0.4681302384736006,0.33582804121825677,-0.07194870557016195,0.3358280412182561,0.4688588884196898,0.14623228187585224,0.07969409892329737,0.14782146865096515,0.4344659968592675,0.6759876483779024,0.42923664526334465,0.653666395996091,0.44923454145132646,0.9026355721401659,0.45933911951887524,0.7794692055771315,0.3564376773919291
range_center_y,0.7761924313436893,0.6988300922395074,0.2275961688232083,0.5793159760803339,0.4010747830188269,0.9791834363679798,0.40150579730455016,1.0,0.05521070196634862,0.08912885233265999,0.4127334945012198,0.4118474260072343,0.03607456537985307,0.4079922911718818,0.4053105845222377,0.8519294158701907,0.9059125574318702,0.08536682521589839,0.9153934253844923,0.9124992833372606,0.7217994533460754,0.7344441884516121,0.08788098754959231,0.7207177686379548,0.726035692977976,-0.6967520812672648,0.39392694084961144,-0.17133452223467555,0.1847480242286018,0.46104659836058304,0.32103937953700507,-0.09163123484569477,0.32103937953700484,0.46122278074893974,0.060725863067356986,0.10756973530168253,0.10727701915657574,0.44533608786321954,0.3716485155044396,0.6205690508799018,0.5940221581368079,0.4419756190427779,0.4151669264130819,0.8889607252853063,0.7297494590640248,0.34120709216695577
max_center_x,0.124413848553779,0.1097445880717996,0.018393289553681483,0.0917082416202972,0.14335282831239168,0.053258644890702686,0.15314548417023666,0.05521070196634862,1.0,0.007951822634650085,0.11437665185576011,0.13976130750499208,-0.04016868846802475,0.1452409941300395,0.1470580252984093,0.05685019749618618,0.055726236528387665,0.04475859673097016,0.06120200389287245,0.057991424533878906,0.10343788902140356,0.11536164419871625,0.0024882462853172155,0.12116169524971014,0.11867927584611777,-0.126529049684869,0.07899987728758678,-0.008839351000353872,0.044286670223071437,0.06209031563564665,0.04583369638643447,-0.00741650171956258,0.04583369638643433,0.06178645202683317,-0.05211574487531058,0.03577484695469835,-0.014206781596786353,0.08134640219587033,0.07464457416611732,0.04006544109531014,0.0665891408315108,0.047026963441378515,0.1284586352979708,0.056759081442447804,0.10835880434878134,0.0465618952202279
max_center_y,0.09723617325155887,0.08014853519124952,0.09054512723610192,0.10446488621378162,0.06745360192359993,0.08173392300240867,0.06340999363015234,0.08912885233265999,0.007951822634650085,1.0,0.06271261977414117,0.07143104257634193,-0.05769635174508717,0.05579048262068445,0.060721649738040916,0.059850946894491004,0.07248297586605543,-0.014240919538311221,0.07762042633751358,0.07974408441542817,0.06946669544103828,0.0711077850204745,-0.04202676493059757,0.06462200661893748,0.06932311188965895,-0.09368884674699367,0.11570011347469836,-0.09026451603527258,0.0588384196509292,0.05853439836780041,0.05141131838218232,0.008733785884790972,0.05141131838218237,0.05808735737811549,-0.03612313375992722,0.009371714439706934,-0.011445660009665834,0.03798136081332432,0.04918968317163585,0.03061102645899603,0.05544526936246338,0.0640884918167051,0.06931386439198407,0.0655021481822281,0.07134257500654471,0.04584064390637047
